TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1215215.0,1143.673225,1.0,-4.94,3.23,-7.79,25.69,-27.25,20.19,-1.94,-0.19,0.19,0.099493301515877,0.21401109844163324,0.03603587740272651,-131.87465337051762,-30.531925921642927,24.291588578811197,-0.2294,-0.9131,-0.2633,0.2104
1215250.0,1143.7342720000001,1.0,-4.91,3.06,-8.02,26.75,-26.87,21.5,0.0,0.06,-1.06,0.08893384288190331,-0.042582291331048516,-0.08184723264638549,-131.87465337051762,-30.54380438300529,24.303310245881057,-0.2291,-0.9131,-0.2634,0.2105
1215285.0,1143.7519949999999,1.0,-5.07,2.86,-7.77,26.75,-27.25,22.69,0.0,-2.0,-1.19,-0.2037441255580843,-0.002187043868354888,0.1001633262266477,-131.84655671079122,-30.57944178497209,24.373645675055762,-0.2291,-0.9129999999999999,-0.2637,0.2111
1215322.0,1143.804181,1.0,-5.05,2.92,-7.72,26.0,-27.69,22.25,-0.12,1.5,-0.63,-0.16634082780219606,0.06371639145218766,0.13216960307601866,-131.84655671079122,-30.57944178497209,24.373645675055762,-0.22899999999999998,-0.9129999999999999,-0.2637,0.2111
1215354.0,1143.8208730000001,1.0,-5.0,3.1,-7.75,26.0,-27.69,22.25,-0.75,1.19,-1.0,-0.02277249820367855,0.16669315901180315,0.07812519897984592,-131.81847545998673,-30.626963035148037,24.31503217113493,-0.2291,-0.9129,-0.2641,0.2106
1215391.0,1143.865505,1.0,-5.04,3.21,-7.67,26.0,-26.5,21.87,-2.56,0.06,-0.56,-0.009638086224726727,0.3066073751080252,0.08859983420937034,-131.7904095910964,-30.66260751391823,24.31503217113493,-0.2292,-0.9128,-0.2644,0.2106
1215426.0,1143.900683,1.0,-4.89,2.53,-8.09,26.37,-26.5,21.5,-4.94,0.5,2.38,-0.1801548908567825,-0.4773021538236305,0.034197550934019105,-131.81847545998673,-30.686372188368548,24.279867169785643,-0.2288,-0.9129,-0.2646,0.2103
1215461.0,1143.916056,1.0,-4.95,2.86,-8.14,26.37,-26.5,21.5,-3.31,0.31,1.25,-0.02204211901335373,-0.2263014171394717,-0.13769521794120546,-131.81847545998673,-30.710138215163173,24.26814601866472,-0.2286,-0.9129,-0.2648,0.2102
1215496.0,1143.95986,1.0,-4.93,2.95,-8.23,26.37,-27.25,21.87,0.06,0.12,1.19,0.0631050395538022,-0.22165148745119068,-0.22765059207385185,-131.84655671079122,-30.66260751391823,24.25642512530879,-0.22899999999999998,-0.9129999999999999,-0.2644,0.2101
1215531.0,1144.015929,1.0,-4.94,3.09,-7.91,26.37,-26.87,20.56,1.56,-1.25,-0.69,0.05838064933911857,0.05894873449649951,-0.01744877528132527,-131.84655671079122,-30.650725683430657,24.291588578811197,-0.2288,-0.9129999999999999,-0.2643,0.2104
1215565.0,1144.0355880000004,1.0,-5.02,3.03,-7.78,26.37,-26.87,20.56,0.56,-0.31,-1.19,-0.06294381496983448,0.11294991995334835,0.06534719227763475,-131.7904095910964,-30.674489682178663,24.33847679675364,-0.2287,-0.9128,-0.2645,0.2108
